run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR23696460,SAMN33578539,SAMN33578539,Vibrio cholerae,4 03 2023,USA,Vibrio cholerae,36179186;36174213,202551912,414490,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/060/SRR23696460/SRR23696460_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR236/060/SRR23696460/SRR23696460_2.fastq.gz']","36 MB, 36 MB files; 0.4 million reads; 202.6 million sequenced bases"
SRR24061230,SAMN34066542,SAMN34066542,Vibrio cholerae,9 04 2023,USA,Vibrio cholerae,134202273;169070522,399549799,825008,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/030/SRR24061230/SRR24061230_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR240/030/SRR24061230/SRR24061230_2.fastq.gz']","134 MB, 169 MB files; 0.8 million reads; 399.5 million sequenced bases"
SRR24288751,SAMN34353974,SAMN34353974,Vibrio cholerae,5 05 2023,USA,Vibrio cholerae,81234654;96480011,243922017,499418,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/051/SRR24288751/SRR24288751_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/051/SRR24288751/SRR24288751_2.fastq.gz']","81 MB, 96 MB files; 0.5 million reads; 243.9 million sequenced bases"
SRR24299570,SAMN34365129,SAMN34365129,Vibrio cholerae,5 05 2023,USA,Vibrio cholerae,124957198;151839002,364199254,1220111,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/070/SRR24299570/SRR24299570_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR242/070/SRR24299570/SRR24299570_2.fastq.gz']","125 MB, 152 MB files; 1.2 million reads; 364.2 million sequenced bases"
SRR24487460,SAMN35089532,SAMN35089532,Vibrio cholerae,5 06 2023,USA,Vibrio cholerae,46211239;46286517,254755283,561679,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR244/060/SRR24487460/SRR24487460_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR244/060/SRR24487460/SRR24487460_2.fastq.gz']","46 MB, 46 MB files; 0.6 million reads; 254.8 million sequenced bases"
SRR24508037,SAMN35042010,SAMN35042010,Vibrio cholerae,5 06 2023,USA,Vibrio cholerae,37342504;37386219,208722161,432319,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/037/SRR24508037/SRR24508037_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/037/SRR24508037/SRR24508037_2.fastq.gz']","37 MB, 37 MB files; 0.4 million reads; 208.7 million sequenced bases"
SRR24508039,SAMN35042009,SAMN35042009,Vibrio cholerae,5 06 2023,USA,Vibrio cholerae,33178186;33243722,185317115,386831,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/039/SRR24508039/SRR24508039_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR245/039/SRR24508039/SRR24508039_2.fastq.gz']","33 MB, 33 MB files; 0.4 million reads; 185.3 million sequenced bases"
SRR24883082,SAMN35684987,SAMN35684987,Vibrio cholerae,12 06 2023,USA,Vibrio cholerae,23020038;22955359,117327705,396084,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR248/082/SRR24883082/SRR24883082_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR248/082/SRR24883082/SRR24883082_2.fastq.gz']","23 MB, 23 MB files; 0.4 million reads; 117.3 million sequenced bases"
SRR25004958,SAMN35877866,SAMN35877866,Vibrio cholerae,27 06 2023,USA,Vibrio cholerae,56554370;56575129,278603730,932325,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR250/058/SRR25004958/SRR25004958_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR250/058/SRR25004958/SRR25004958_2.fastq.gz']","57 MB, 57 MB files; 0.9 million reads; 278.6 million sequenced bases"
SRR25067766,SAMN36048863,SAMN36048863,Vibrio cholerae,30 06 2023,USA,Vibrio cholerae,135795867;135965346,718012371,1480293,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR250/066/SRR25067766/SRR25067766_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR250/066/SRR25067766/SRR25067766_2.fastq.gz']","136 MB, 136 MB files; 1.5 million reads; 718.0 million sequenced bases"
SRR25338817,SAMN36614621,PNUSAV004153,Vibrio cholerae,20 07 2023,USA,Vibrio cholerae,109580926;109302890,543094970,1826126,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/017/SRR25338817/SRR25338817_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/017/SRR25338817/SRR25338817_2.fastq.gz']","110 MB, 109 MB files; 1.8 million reads; 543.1 million sequenced bases"
SRR25339968,SAMN36614622,PNUSAV004152,Vibrio cholerae,20 07 2023,USA,Vibrio cholerae,91859267;91626103,454906004,1528382,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/068/SRR25339968/SRR25339968_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR253/068/SRR25339968/SRR25339968_2.fastq.gz']","92 MB, 92 MB files; 1.5 million reads; 454.9 million sequenced bases"
SRR25420530,SAMN36704262,PNUSAV004184,Vibrio cholerae,26 07 2023,USA,Vibrio cholerae,55778502;55763190,282402760,970361,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/030/SRR25420530/SRR25420530_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/030/SRR25420530/SRR25420530_2.fastq.gz']","56 MB, 56 MB files; 1.0 million reads; 282.4 million sequenced bases"
SRR25494103,SAMN36808859,PNUSAV004211,Vibrio cholerae,2 08 2023,USA,Vibrio cholerae,72023014;72045370,379541749,784134,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/003/SRR25494103/SRR25494103_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR254/003/SRR25494103/SRR25494103_2.fastq.gz']","72 MB, 72 MB files; 0.8 million reads; 379.5 million sequenced bases"
SRR25506864,SAMN36826984,PNUSAV004307,Vibrio cholerae,4 08 2023,USA,Vibrio cholerae,54100980;54105631,263870283,895084,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/064/SRR25506864/SRR25506864_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR255/064/SRR25506864/SRR25506864_2.fastq.gz']","54 MB, 54 MB files; 0.9 million reads; 263.9 million sequenced bases"
SRR25634659,SAMN36984153,PNUSAV004420,Vibrio cholerae,18 08 2023,USA,Vibrio cholerae,56627379;56662441,299087527,607170,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/059/SRR25634659/SRR25634659_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/059/SRR25634659/SRR25634659_2.fastq.gz']","57 MB, 57 MB files; 0.6 million reads; 299.1 million sequenced bases"
SRR25644436,SAMN36994038,SAMN36994038,Vibrio cholerae,19 08 2023,USA,Vibrio cholerae,68860655;68806199,341805278,1150000,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/036/SRR25644436/SRR25644436_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR256/036/SRR25644436/SRR25644436_2.fastq.gz']","69 MB, 69 MB files; 1.1 million reads; 341.8 million sequenced bases"
SRR25713326,SAMN37096630,SAMN37096630,Vibrio cholerae,27 08 2023,USA,Vibrio cholerae,55967355;55976838,294473449,606872,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/026/SRR25713326/SRR25713326_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/026/SRR25713326/SRR25713326_2.fastq.gz']","56 MB, 56 MB files; 0.6 million reads; 294.5 million sequenced bases"
SRR25713347,SAMN37096631,SAMN37096631,Vibrio cholerae,27 08 2023,USA,Vibrio cholerae,50226343;50239512,263861104,543113,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/047/SRR25713347/SRR25713347_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/047/SRR25713347/SRR25713347_2.fastq.gz']","50 MB, 50 MB files; 0.5 million reads; 263.9 million sequenced bases"
SRR25713354,SAMN37096629,SAMN37096629,Vibrio cholerae,27 08 2023,USA,Vibrio cholerae,62172911;62197569,326934115,674059,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/054/SRR25713354/SRR25713354_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/054/SRR25713354/SRR25713354_2.fastq.gz']","62 MB, 62 MB files; 0.7 million reads; 326.9 million sequenced bases"
SRR25758344,SAMN37146845,SAMN37146845,Vibrio cholerae,25 08 2023,USA,Vibrio cholerae,45303123;45318453,238870733,486785,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/044/SRR25758344/SRR25758344_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/044/SRR25758344/SRR25758344_2.fastq.gz']","45 MB, 45 MB files; 0.5 million reads; 238.9 million sequenced bases"
SRR25788770,SAMN37195767,SAMN37195767,Vibrio cholerae,31 08 2023,USA,Vibrio cholerae,16648728;16656646,80760411,270764,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/070/SRR25788770/SRR25788770_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/070/SRR25788770/SRR25788770_2.fastq.gz']","17 MB, 17 MB files; 0.3 million reads; 80.8 million sequenced bases"
SRR25791247,SAMN37196534,SAMN37196534,Vibrio cholerae,31 08 2023,USA,Vibrio cholerae,40724720;40488961,207850091,704080,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/047/SRR25791247/SRR25791247_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR257/047/SRR25791247/SRR25791247_2.fastq.gz']","41 MB, 40 MB files; 0.7 million reads; 207.9 million sequenced bases"
SRR25825344,SAMN37212718,SAMN37212718,Vibrio cholerae,2 09 2023,USA,Vibrio cholerae,95915518;95937803,475296497,1600112,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR258/044/SRR25825344/SRR25825344_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR258/044/SRR25825344/SRR25825344_2.fastq.gz']","96 MB, 96 MB files; 1.6 million reads; 475.3 million sequenced bases"
SRR25869532,SAMN37230674,SAMN37230674,Vibrio cholerae,2 09 2023,USA,Vibrio cholerae,55043059;55056935,269775343,903809,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR258/032/SRR25869532/SRR25869532_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR258/032/SRR25869532/SRR25869532_2.fastq.gz']","55 MB, 55 MB files; 0.9 million reads; 269.8 million sequenced bases"
SRR25869712,SAMN37231020,SAMN37231020,Vibrio cholerae,2 09 2023,USA,Vibrio cholerae,65240620;65221593,319763363,1071564,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR258/012/SRR25869712/SRR25869712_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR258/012/SRR25869712/SRR25869712_2.fastq.gz']","65 MB, 65 MB files; 1.1 million reads; 319.8 million sequenced bases"
SRR25917935,SAMN37285231,SAMN37285231,Vibrio cholerae,6 09 2023,USA,Vibrio cholerae,39428054;39461743,208155473,422675,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/035/SRR25917935/SRR25917935_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/035/SRR25917935/SRR25917935_2.fastq.gz']","39 MB, 39 MB files; 0.4 million reads; 208.2 million sequenced bases"
SRR25925566,SAMN37299263,SAMN37299263,Vibrio cholerae,10 09 2023,USA,Vibrio cholerae,75831665;75854654,399046140,823782,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/066/SRR25925566/SRR25925566_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/066/SRR25925566/SRR25925566_2.fastq.gz']","76 MB, 76 MB files; 0.8 million reads; 399.0 million sequenced bases"
SRR25925927,SAMN37299146,SAMN37299146,Vibrio cholerae,10 09 2023,USA,Vibrio cholerae,53882846;53908500,283148666,582854,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/027/SRR25925927/SRR25925927_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/027/SRR25925927/SRR25925927_2.fastq.gz']","54 MB, 54 MB files; 0.6 million reads; 283.1 million sequenced bases"
SRR25939663,SAMN37313290,SAMN37313290,Vibrio cholerae,8 09 2023,USA,Vibrio cholerae,54459904;54489864,266750122,895208,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/063/SRR25939663/SRR25939663_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR259/063/SRR25939663/SRR25939663_2.fastq.gz']","54 MB, 54 MB files; 0.9 million reads; 266.8 million sequenced bases"
SRR26063253,SAMN37396611,SAMN37396611,Vibrio cholerae,15 09 2023,USA,Vibrio cholerae,48286015;48384309,253157462,531858,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/053/SRR26063253/SRR26063253_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/053/SRR26063253/SRR26063253_2.fastq.gz']","48 MB, 48 MB files; 0.5 million reads; 253.2 million sequenced bases"
SRR26092239,SAMN37441840,SAMN37441840,Vibrio cholerae,21 09 2023,USA,Vibrio cholerae,63749273;63730441,317861373,1061219,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/039/SRR26092239/SRR26092239_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/039/SRR26092239/SRR26092239_2.fastq.gz']","64 MB, 64 MB files; 1.1 million reads; 317.9 million sequenced bases"
SRR26093497,SAMN37441993,SAMN37441993,Vibrio cholerae,24 09 2023,USA,Vibrio cholerae,57923944;57975823,305691144,626266,NexteraXT,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/097/SRR26093497/SRR26093497_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/097/SRR26093497/SRR26093497_2.fastq.gz']","58 MB, 58 MB files; 0.6 million reads; 305.7 million sequenced bases"
SRR26278516,SAMN37682815,SAMN37682815,Vibrio cholerae,8 10 2023,USA,Vibrio cholerae,110908454;110886927,551148708,1850466,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/016/SRR26278516/SRR26278516_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR262/016/SRR26278516/SRR26278516_2.fastq.gz']","111 MB, 111 MB files; 1.9 million reads; 551.1 million sequenced bases"
SRR26348009,SAMN37766115,SAMN37766115,Vibrio cholerae,12 10 2023,USA,Vibrio cholerae,54922664;54944813,271878920,911118,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/009/SRR26348009/SRR26348009_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/009/SRR26348009/SRR26348009_2.fastq.gz']","55 MB, 55 MB files; 0.9 million reads; 271.9 million sequenced bases"
SRR26377491,SAMN37803752,SAMN37803752,Vibrio cholerae,15 10 2023,USA,Vibrio cholerae,110174646;110256693,578890355,1217907,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/091/SRR26377491/SRR26377491_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR263/091/SRR26377491/SRR26377491_2.fastq.gz']","110 MB, 110 MB files; 1.2 million reads; 578.9 million sequenced bases"
SRR26424152,SAMN37875479,SAMN37875479,Vibrio cholerae,20 10 2023,USA,Vibrio cholerae,54039713;53976382,267178831,900000,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/052/SRR26424152/SRR26424152_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/052/SRR26424152/SRR26424152_2.fastq.gz']","54 MB, 54 MB files; 0.9 million reads; 267.2 million sequenced bases"
SRR26642269,SAMN38082726,SAMN38082726,Vibrio cholerae,4 11 2023,USA,Vibrio cholerae,73415785;73328328,365351461,1222587,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/069/SRR26642269/SRR26642269_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/069/SRR26642269/SRR26642269_2.fastq.gz']","73 MB, 73 MB files; 1.2 million reads; 365.4 million sequenced bases"
SRR26643197,SAMN38082768,SAMN38082768,Vibrio cholerae,4 11 2023,USA,Vibrio cholerae,43128641;43236691,204954631,681463,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/097/SRR26643197/SRR26643197_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR266/097/SRR26643197/SRR26643197_2.fastq.gz']","43 MB, 43 MB files; 0.7 million reads; 205.0 million sequenced bases"
SRR26701784,SAMN38146061,SAMN38146061,Vibrio cholerae,8 11 2023,USA,Vibrio cholerae,74904433;75325888,406167401,823507,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/084/SRR26701784/SRR26701784_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR267/084/SRR26701784/SRR26701784_2.fastq.gz']","75 MB, 75 MB files; 0.8 million reads; 406.2 million sequenced bases"
SRR27175154,SAMN38762085,SAMN38762085,Vibrio cholerae,12 12 2023,USA,Vibrio cholerae,74454768;74316439,390520343,813738,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/054/SRR27175154/SRR27175154_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/054/SRR27175154/SRR27175154_2.fastq.gz']","74 MB, 74 MB files; 0.8 million reads; 390.5 million sequenced bases"
SRR27175508,SAMN38762155,SAMN38762155,Vibrio cholerae,12 12 2023,USA,Vibrio cholerae,55104646;55127216,287733873,602304,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/008/SRR27175508/SRR27175508_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/008/SRR27175508/SRR27175508_2.fastq.gz']","55 MB, 55 MB files; 0.6 million reads; 287.7 million sequenced bases"
SRR27175623,SAMN38762639,SAMN38762639,Vibrio cholerae,12 12 2023,USA,Vibrio cholerae,225546583;224509905,1116660374,3758721,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/023/SRR27175623/SRR27175623_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/023/SRR27175623/SRR27175623_2.fastq.gz']","226 MB, 225 MB files; 3.8 million reads; 1116.7 million sequenced bases"
SRR27175633,SAMN38762668,SAMN38762668,Vibrio cholerae,12 12 2023,USA,Vibrio cholerae,109721291;109940466,575561366,1225176,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/033/SRR27175633/SRR27175633_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR271/033/SRR27175633/SRR27175633_2.fastq.gz']","110 MB, 110 MB files; 1.2 million reads; 575.6 million sequenced bases"
SRR27285628,SAMN38927456,SAMN38927456,Vibrio cholerae,21 12 2023,USA,Vibrio cholerae,88299265;88350865,464375503,974506,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR272/028/SRR27285628/SRR27285628_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR272/028/SRR27285628/SRR27285628_2.fastq.gz']","88 MB, 88 MB files; 1.0 million reads; 464.4 million sequenced bases"
SRR27366280,SAMN39144537,SAMN39144537,Vibrio cholerae,31 12 2023,USA,Vibrio cholerae,48097553;48126948,252561499,525609,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/080/SRR27366280/SRR27366280_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/080/SRR27366280/SRR27366280_2.fastq.gz']","48 MB, 48 MB files; 0.5 million reads; 252.6 million sequenced bases"
SRR27374662,SAMN39181179,SAMN39181179,Vibrio cholerae,29 12 2023,USA,Vibrio cholerae,68746100;68772787,364130659,741406,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/062/SRR27374662/SRR27374662_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/062/SRR27374662/SRR27374662_2.fastq.gz']","69 MB, 69 MB files; 0.7 million reads; 364.1 million sequenced bases"
SRR27374949,SAMN39181178,SAMN39181178,Vibrio cholerae,29 12 2023,USA,Vibrio cholerae,63128626;63182188,334370508,679343,Illumina DNA Prep,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina MiSeq,PulseNet Vibrio spp. Genome sequencing,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/049/SRR27374949/SRR27374949_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR273/049/SRR27374949/SRR27374949_2.fastq.gz']","63 MB, 63 MB files; 0.7 million reads; 334.4 million sequenced bases"
